molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_description,document_chembl_id
CHEMBL231813,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,IC50,510.0,nM,6.29,Inhibition of HCV 1a NS3-4A R155K mutant protease after 60 mins,CHEMBL1156474
CHEMBL231813,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,IC50,490.0,nM,6.31,Inhibition of HCV 1a NS3-4A R155T mutant protease after 60 mins,CHEMBL1156474
CHEMBL231813,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,IC50,1150.0,nM,5.94,Inhibition of HCV 1a NS3-4A protease R155S mutant after 60 mins,CHEMBL1156474
CHEMBL231813,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,IC50,880.0,nM,6.06,Inhibition of HCV 1a NS3-4A R155I mutant protease after 60 mins,CHEMBL1156474
CHEMBL231813,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,IC50,270.0,nM,6.57,Inhibition of HCV genotype 1a NS3 protease V36M mutant expressed in Escherichia coli BL21 (DE3),CHEMBL1152460
CHEMBL231813,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,IC50,130.0,nM,6.89,Inhibition of HCV genotype 1a NS3 protease V36L mutant expressed in Escherichia coli BL21 (DE3),CHEMBL1152460
CHEMBL231813,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,IC50,3400.0,nM,5.47,Inhibition of HCV genotype 1a NS3 protease V36M/R155K double mutant expressed in Escherichia coli BL21 (DE3),CHEMBL1152460
CHEMBL1170408,C=CCCCS(=O)(=O)NC(=O)[C@H](CCC)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c1ccc(Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)c(C=C)c1,Ki,140.0,nM,6.85,Inhibition of HCV NS3 protease D168V mutant by FRET assay,CHEMBL1177656
CHEMBL1170409,C=CCCCS(=O)(=O)NC(=O)[C@H](CCC)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c1ccc(Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)c(C=C)c1,Ki,380.0,nM,6.42,Inhibition of HCV NS3 protease D168V mutant by FRET assay,CHEMBL1177656
CHEMBL1170410,C=CCCCCS(=O)(=O)NC(=O)[C@H](CCC)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c1ccc(Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)c(C=C)c1,Ki,390.0,nM,6.41,Inhibition of HCV NS3 protease D168V mutant by FRET assay,CHEMBL1177656
CHEMBL1170411,C=CCCCCS(=O)(=O)NC(=O)[C@H](CCC)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)c1ccc(Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)c(C=C)c1,Ki,530.0,nM,6.28,Inhibition of HCV NS3 protease D168V mutant by FRET assay,CHEMBL1177656
CHEMBL1170416,C=Cc1cc([C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@H](CCC)C(=O)NS(=O)(=O)c2ccccc2C=C)ccc1Oc1cc(-c2ccccc2)nc2cc(OC)ccc12,Ki,450.0,nM,6.35,Inhibition of HCV NS3 protease D168V mutant by FRET assay,CHEMBL1177656
CHEMBL1170417,C=Cc1cc([C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@H](CCC)C(=O)NS(=O)(=O)c2ccccc2C=C)ccc1Oc1cc(-c2ccccc2)nc2cc(OC)ccc12,Ki,230.0,nM,6.64,Inhibition of HCV NS3 protease D168V mutant by FRET assay,CHEMBL1177656
CHEMBL1222752,C=C[C@@H]1C[C@]1(NC(=O)C(c1ccccc1)n1c(C)c(Cl)nc(NC(=O)OC(C)(C)C)c1=O)C(=O)NS(=O)(=O)C1CC1,Ki,8600.0,nM,5.07,Inhibition of HCV NS3 protease D168V mutant by FRET assay,CHEMBL1221280
CHEMBL1222749,Cc1c(Cl)nc(NC(=O)OC(C)(C)C)c(=O)n1C(C(=O)Nc1ccccc1C(=O)NS(=O)(=O)c1ccc(C(F)(F)F)cc1)c1ccccc1,Ki,1700.0,nM,5.77,Inhibition of HCV NS3 protease D168V mutant by FRET assay,CHEMBL1221280
CHEMBL1222901,O=C(O)CNc1nc(Cl)cn(C(C(=O)Nc2ccccc2C(=O)NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c2ccccc2)c1=O,Ki,6400.0,nM,5.19,Inhibition of HCV NS3 protease D168V mutant by FRET assay,CHEMBL1221280
CHEMBL1222902,O=C(O)CNc1nc(Cl)c(-c2ccccc2)n(CC(=O)Nc2ccccc2C(=O)NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1=O,Ki,6000.0,nM,5.22,Inhibition of HCV NS3 protease D168V mutant by FRET assay,CHEMBL1221280
CHEMBL1222903,O=C(O)CNc1nc(Cl)c(Cc2ccccc2)n(CC(=O)Nc2ccccc2C(=O)NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1=O,Ki,3100.0,nM,5.51,Inhibition of HCV NS3 protease D168V mutant by FRET assay,CHEMBL1221280
CHEMBL258734,CC(C)(C)OC(=O)N[C@H]1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](OC(=O)N3Cc4cccc(F)c4C3)CN2C1=O,Ki,44.8,nM,7.35,Inhibition of Hepatitis C virus genotype 1a NS3/4A protease A156T mutant expressed in Escherichia coli BL21 (DE3) cells assessed as substrate cleavage using Ac-DE-Dap(QXL520)-EE-Abu-psi-[COO]AS-C(5-FA,CHEMBL3120136
CHEMBL3125169,C=Cc1cc(C(NC(=O)OC(C)(C)C)C(=O)Nc2cccc(C(=O)NS(=O)(=O)c3ccc(C(F)(F)F)cc3)c2)ccc1Oc1cc(OC)nc(-c2ccccc2)n1,Ki,580.0,nM,6.24,Inhibition of Hepatitis C virus genotype 1a full length NS3/2K-NS4A protease R155K mutant using Ac-DED(Edans)EEAbupsi[COO]ASK(Dabcyl)-NH2 as substrate incubated for 10 mins prior to substrate addition,CHEMBL3124859
CHEMBL3125043,C=Cc1cc([C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)Nc2cccc(C(=O)NS(=O)(=O)c3ccc(C(F)(F)F)cc3)c2)ccc1Oc1cc(OC)nc(-c2ccccc2)n1,Ki,210.0,nM,6.68,Inhibition of Hepatitis C virus genotype 1a full length NS3/2K-NS4A protease R155K mutant using Ac-DED(Edans)EEAbupsi[COO]ASK(Dabcyl)-NH2 as substrate incubated for 10 mins prior to substrate addition,CHEMBL3124859
CHEMBL3125169,C=Cc1cc(C(NC(=O)OC(C)(C)C)C(=O)Nc2cccc(C(=O)NS(=O)(=O)c3ccc(C(F)(F)F)cc3)c2)ccc1Oc1cc(OC)nc(-c2ccccc2)n1,Ki,180.0,nM,6.75,Inhibition of Hepatitis C virus genotype 1a full length NS3/2K-NS4A protease D168V mutant using Ac-DED(Edans)EEAbupsi[COO]ASK(Dabcyl)-NH2 as substrate incubated for 10 mins prior to substrate addition,CHEMBL3124859
CHEMBL3125043,C=Cc1cc([C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)Nc2cccc(C(=O)NS(=O)(=O)c3ccc(C(F)(F)F)cc3)c2)ccc1Oc1cc(OC)nc(-c2ccccc2)n1,Ki,110.0,nM,6.96,Inhibition of Hepatitis C virus genotype 1a full length NS3/2K-NS4A protease D168V mutant using Ac-DED(Edans)EEAbupsi[COO]ASK(Dabcyl)-NH2 as substrate incubated for 10 mins prior to substrate addition,CHEMBL3124859
CHEMBL3125169,C=Cc1cc(C(NC(=O)OC(C)(C)C)C(=O)Nc2cccc(C(=O)NS(=O)(=O)c3ccc(C(F)(F)F)cc3)c2)ccc1Oc1cc(OC)nc(-c2ccccc2)n1,Ki,110.0,nM,6.96,Inhibition of Hepatitis C virus genotype 1a full length NS3/2K-NS4A protease A156T mutant using Ac-DED(Edans)EEAbupsi[COO]ASK(Dabcyl)-NH2 as substrate incubated for 10 mins prior to substrate addition,CHEMBL3124859
