molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,assay_description,document_chembl_id
CHEMBL292323,COc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(OC)c4n3C)n(C)c12,IC50,100000.0,nM,,Inhibition of epidermal growth factor receptor (EGFR-mediated tyrosine autophosphorylation in mouse fibroblasts.,CHEMBL1127560
CHEMBL304414,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3ccccc3n2C)c(C(=O)Nc2ccccc2)c2ccccc21,IC50,100000.0,nM,,Inhibition of epidermal growth factor receptor (EGFR-mediated tyrosine autophosphorylation in mouse fibroblasts.,CHEMBL1127560
CHEMBL62176,CN1C(=S)C(C(=O)Nc2ccccc2)c2ccccc21,IC50,100000.0,nM,,Inhibition of epidermal growth factor receptor (EGFR-mediated tyrosine autophosphorylation in mouse fibroblasts.,CHEMBL1127560
CHEMBL62701,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cccnc3n2C)c(C(=O)Nc2ccccc2)c2cccnc21,IC50,25000.0,nM,,Inhibition of epidermal growth factor receptor (EGFR-mediated tyrosine autophosphorylation in mouse fibroblasts.,CHEMBL1127560
CHEMBL137617,C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,70.0,nM,7.16,Inhibition of epidermal growth factor receptor tyrosine kinase (EGFR TK),CHEMBL1145931
CHEMBL153577,CC(=O)N(C)/N=N/c1ccc2ncnc(Nc3cccc(C)c3)c2c1,IC50,578.0,nM,6.24,Inhibition of epidermal growth factor receptor tyrosine kinase (EGFR TK),CHEMBL1145931
CHEMBL152448,CN(CO)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,110.0,nM,6.96,Inhibition of epidermal growth factor receptor tyrosine kinase (EGFR TK),CHEMBL1145931
CHEMBL137189,C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,IC50,200.0,nM,6.70,Inhibition of epidermal growth factor receptor tyrosine kinase (EGFR TK),CHEMBL1145931
CHEMBL52765,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,40.0,nM,7.40,Inhibition of epidermal growth factor receptor tyrosine kinase (EGFR TK),CHEMBL1145931
CHEMBL152922,CC(=O)OCN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,130.0,nM,6.89,Inhibition of epidermal growth factor receptor tyrosine kinase (EGFR TK),CHEMBL1145931
CHEMBL7917,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,IC50,100.0,nM,,Inhibition of EGF-dependent mouse keratinocyte MK cell proliferation,CHEMBL1132606
CHEMBL7827,O=c1c(-c2cccc(Cl)c2)coc2cc(O)cc(O)c12,IC50,16000.0,nM,4.80,Inhibition of EGF-dependent mouse keratinocyte MK cell proliferation,CHEMBL1132606
CHEMBL440453,COc1cc(O)c2c(O)c(-c3cccc(Cl)c3)cnc2c1,IC50,11400.0,nM,4.94,Inhibition of EGF-dependent mouse keratinocyte MK cell proliferation,CHEMBL1132606
CHEMBL7810,COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(CCc3ccccc3)c2c1,IC50,4930.0,nM,5.31,Inhibition of EGF-dependent mouse keratinocyte MK cell proliferation,CHEMBL1132606
